Post Date,Value Date,Branch,Journal No.,Description,Debit,Credit,
01/06/18 06.30.00,01/06/18 06.30.00,0767,013044,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301523 JATIASIH 1",".00","173,000.00",
01/06/18 06.30.00,01/06/18 06.30.00,0767,013083,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301511 GEDONG 2",".00","733,500.00",
01/06/18 06.30.00,01/06/18 06.30.00,0767,013174,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301524 CIKUNIR 2",".00","2,403,000.00",
01/06/18 06.30.00,01/06/18 06.30.00,0767,013188,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301512 GEDONG 1",".00","391,000.00",
01/06/18 06.30.01,01/06/18 06.30.01,0767,013256,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301525 CIKUNIR 4",".00","1,750,000.00",
01/06/18 06.30.01,01/06/18 06.30.01,0767,013261,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301513 KP RAMBUTAN",".00","560,500.00",
01/06/18 06.30.01,01/06/18 06.30.01,0767,013309,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301526 KALIMALANG 2",".00","57,000.00",
01/06/18 06.30.01,01/06/18 06.30.01,0767,013315,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301514 PS REBO",".00","1,449,500.00",
01/06/18 06.30.02,01/06/18 06.30.02,0767,013419,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 1 000301527 KALIMALANG 1",".00","47,500.00",
01/06/18 06.30.02,01/06/18 06.30.02,0767,013429,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301515 DUKUH 1",".00","2,244,500.00",
01/06/18 06.30.03,01/06/18 06.30.03,0767,013518,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301516 DUKUH 3",".00","2,560,000.00",
01/06/18 06.30.04,01/06/18 06.30.04,0767,013733,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301517 BMB APUS 2",".00","239,500.00",
01/06/18 06.30.05,01/06/18 06.30.05,0767,013891,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301518 BMB APUS 1",".00","640,500.00",
01/06/18 06.30.06,01/06/18 06.30.06,0767,014028,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301519 SETU",".00","180,500.00",
01/06/18 06.30.08,01/06/18 06.30.08,0767,014414,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301520 JATIWARNA 2",".00","695,500.00",
01/06/18 06.30.08,01/06/18 06.30.08,0767,014509,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301521 JATIWARNA 1",".00","135,000.00",
01/06/18 06.30.09,01/06/18 06.30.09,0767,014545,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301534 LT AGUNG 3",".00","598,500.00",
01/06/18 06.30.09,01/06/18 06.30.09,0767,014555,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301522 JATIASIH 2",".00","676,500.00",
01/06/18 06.30.09,01/06/18 06.30.09,0767,014562,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301510 LT AGUNG 1",".00","1,396,500.00",
01/06/18 15.03.56,01/06/18 15.03.56,0767,423901,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301523 JATIASIH 1",".00","28,500.00",
01/06/18 15.03.57,01/06/18 15.03.57,0767,424064,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301512 GEDONG 1",".00","123,500.00",
